Date,Day,Type,Costume Queue (2200 bullets),Mech Queue (2200 bullets) Glory Mech (1650 bullets) ,Adv Costume Disc (3000 bullets),Weapon Component (2000 bullets),Adv Costume Frag (4000 bullets),Mole (800),,Costume Queue (2200 bullets),Mech Queue (2200 bullets),Glory Mech (1650 bullets) ,Mole (800),Adv Costume Disc (3000 bullets),Adv Cos Frag (4000),Weapon Component,Lucky Charm
,,,,,,,,,,Taemin,Wee,,Bing,Tango,Zee,,
,,,,,,,,,,Pigu,Newbie,,Pigu,Tango2,Newbie,,
25 Aug,Tue,Glory,Anewb,"S7RYD3 (GM * 2)
All (GM * 1)",Bing,,,,,Tango,Inori,,Taemin,Newbie,,,
22 Aug,Sat,War,CP,,,,Dan_da / Blizz,Taemin,,Tango2,Green,,Tango1,Blizz,,,
20 Aug,Thu,War,,Lucky6/CpxeX,,,Newbie,,,Moochi,Pigu,,Tango2,Zee,,,
18 Aug,Tue,War,Wee,,,Benjamin ,,,,Lucky6,干林,,AnewB (Perm Backup) ,All,,,
15 Aug,Sat,war,James Hunter,,,MISSED (GANLIN) ,,Tango2,,Green,Xuan Bing,,,WEE,,,
13 Aug,Thu,War,Gan Lin Teacher,,,,,Bing,,冰仔,Taemin,,,Hunter,,,
11 Aug,Tue,War,,Xuanbing / Anewb,,Moochi,,Tango/Anewb,,SSYY,AnewB,,,,,,
8 Aug,Sat,War,Bing,,,,,Taemin,,Benjamin ,James Hunter,,,,,,
6 Aug,Thu,war,Lacan,,,,,,,Inori,Dan da,,,,,,
4 Aug,Tue,war,Xuan Bing,Pigu,,All,,,,Newbie,All,,,,,,
1 Aug,Sat,war,,Green (Inori) / S7RYDER,,Giggz,,Anewb,,Xuanbing,Lucky6,,,,,,
30 Jul,Thu,war,,,,Giggz,,"Green, Dan_da",,Bing,TCY,,,,,,
28 Jul,Tue,war,,Bing,,,,"taemin, CP",,lacan,Tango,,,,,,
25 Jul,Sat,war,Anewb,CP,,Anewb,,"Anewb, All",,干林,Tango2,,,,,,
23 Jul,Thu,war,Inori,干林,,,,,,James Hunter,Moochi,,,,,,
21 Jul,Tue,war,S7RYD3R666,Bing / All,,Bing,,,,Wee,Blizz,,,,,,
18 Jul,Sat,war,Moochi,MISSED (JMARK/GANLIN),,,,Taemin,,All,,,,,,,
16 Jul,Thu,war,Lucky6,Anewb,,,,Tango2,,AnewB,,,,,,,
14 Jul,Tue,war,Tango,Pigu,,,,All / Hunter,,,bing(backup),,,,,,
11 Jul,Sat,war,Taemin,,,,,Taemin,,,,,,,,,
9 Jul,Thu,War,Pigu,Inori,,All / Moochi,,Hunter,,,,,,,,,
7 Jul,Tue,War,AnewB,Xuanbing,,,,Tango,,,,,,,,,
4 Jul,Sat,War,CPxEX,,,hunter,,,,,,,,,,,
2 Jul,Thu,War,,,,,,,,,,,,,,,
30 Jun,Tue,War,,,,,,,,,,,,,,,
27 Jun,Sat,war,,,,Bing,,,,,,,,,,,
